dcode,dname,dname_e,area_dis
1001,เขตพระนคร,Phra Nakhon,5.536
1002,เขตดุสิต,Dusit,10.665
1003,เขตหนองจอก,Nong Chok,236.261
1004,เขตบางรัก,Bang Rak,5.536
1005,เขตบางเขน,Bang Khen,42.123
1006,เขตบางกะปิ,Bang Kapi,28.523
1007,เขตปทุมวัน,Parthum Wan,8.369
1008,เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,1.931
1009,เขตพระโขนง,Phra Khanong,13.986
1010,เขตมีนบุรี,Min Buri,63.645
1011,เขตลาดกระบัง,Lat Krabang,123.859
1012,เขตยานนาวา,Yan na wa,16.662
1013,เขตสัมพันธวงศ์,Samphanthawong,1.416
1014,เขตพญาไท,Phaya Thai,9.595
1015,เขตธนบุรี,Thon buri,8.551
1016,เขตบางกอกใหญ่,Bangkok Yai,6.18
1017,เขตห้วยขวาง,Huai Khwang,15.033
1018,เขตคลองสาน,Khlong San,6.051
1019,เขตตลิ่งชัน,Taling Chan,29.479
1020,เขตบางกอกน้อย,Bangkok Noi,11.944
1021,เขตบางขุนเทียน,Bang Khun thain,120.687
1022,เขตภาษีเจริญ,Phasi Charoen,17.834
1023,เขตหนองแขม,Nong Khaem,35.825
1024,เขตราษฏร์บูรณะ,Rat Burana,15.782
1025,เขตบางพลัด,Bang Phlat,11.36
1026,เขตดินแดง,Din Daeng,8.354
1027,เขตบึงกุ่ม,Bueng Kum,24.311
1028,เขตสาทร,Sathon,9.326
1029,เขตบางซื่อ,Bang Sue,11.545
1030,เขตจตุจักร,Chatu Chak,32.908
1031,เขตบางคอแหลม,Bang Kho laen,10.921
1032,เขตประเวศ,Pra Wet,52.49
1033,เขตคลองเตย,Khlong Toei,12.994
1034,เขตสวนหลวง,Suanluang,23.678
1035,เขตจอมทอง,Chom Thong,26.265
1036,เขตดอนเมือง,Don Mueang,36.803
1037,เขตราชเทวี,Ratchathewi,7.126
1038,เขตลาดพร้าว,Lat Phrao,22.157
1039,เขตวัฒนา,Vadhana,12.565
1040,เขตบางแค,Bang Khae,44.456
1041,เขตหลักสี่,Lak Si,22.841
1042,เขตสายไหม,Sai Mai,44.615
1043,เขตคันนายาว,Khan Na Yao,25.98
1044,เขตสะพานสูง,Saphan Sung,28.124
1045,เขตวังทองหลาง,Wang Thong Lang,19.265
1046,เขตคลองสามวา,Khlong Sam Wa,110.686
1047,เขตบางนา,Bang Na,18.789
1048,เขตทวีวัฒนา,Thawi Watthana,50.219
1049,เขตทุ่งครุ,Thung khru,30.741
1050,เขตบางบอน,Bang Bon,34.745
